Headline,Score,Name,Country,Region,Continent,Site,Collected
"Palestinian rejectionism, glorification of terrorism is stopping peace - opinion",0.9,The Jerusalem Post,Israel,Middle East,MENA,https://www.jpost.com/,20220831
Why PDP is in crisis ― Dokpesi,0.86,Vanguard,Nigeria,West Africa,Africa,https://www.vanguardngr.com/,20220831
Man City comeback routine cannot continue: Guardiola,0.86,The Express Tribune,Pakistan,South Asia,Asia,https://tribune.com.pk/,20220831
Colombia suspends arrest warrants for ELN negotiators,0.86,Colombia Reports,Colombia,South America,Latin America,https://colombiareports.com/colombia-news/,20220831
Petro’s provisional response to Colombia’s security crisis,0.86,Colombia Reports,Colombia,South America,Latin America,https://colombiareports.com/colombia-news/,20220831
Early elections call to end Iraq’s crisis,0.86,Daily Tribune,Bahrain,Middle East,MENA,https://www.newsofbahrain.com/,20220831
UN chief pledges to protect rights of Iranian victims of terrorism,0.82,Iran Daily,Iran,Middle East,MENA,https://irandaily.ir/Service/3.html,20220831
Angola’s former president Dos Santos laid to rest,0.75,The Citizen,Tanzania,East Africa,Africa,https://www.thecitizen.co.tz/,20220831
Angola’s Ruling Party Declared Winners of Close-fought Polls,0.75,Daily Guide,Ghana,West Africa,Africa,https://dailyguidenetwork.com/,20220831
Humanitarian crisis feared in three K-P districts: report,0.75,The Express Tribune,Pakistan,South Asia,Asia,https://tribune.com.pk/,20220831
Explained | The ongoing political crisis in Iraq,0.75,The Hindu,India,South Asia,Asia,https://www.thehindu.com/,20220831
Economic crisis: Lankan group appreciates Congresswoman Titus’s backing,0.75,The Island,Sri Lanka,South Asia,Asia,https://island.lk/category/news/,20220831
Indonesia successful in overcoming COVID-19 crisis: Minister Hartarto,0.75,Antara News,Indonesia,Southeast Asia,Asia,https://en.antaranews.com/,20220831
"JusMin Predoiu, Finnish Ambassador Akola discuss latest developments…",0.75,Nine O' Clock,Romania,Eastern Europe,Europe,https://www.nineoclock.ro/,20220831
What will the US come up with to link Cuba with terrorism?,0.75,Granma,Cuba,Caribbean,Latin America,https://en.granma.cu/,20220831
Colombia moves to restart peace talks with ELN,0.75,The City Paper Bogot�,Colombia,South America,Latin America,https://thecitypaperbogota.com/,20220831
Turkish forces eliminate so-called academy director of PKK,0.75,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220831
EU needs to redesignate MKO as terrorist: embassy,0.75,Tehran Times,Iran,Middle East,MENA,https://www.tehrantimes.com/,20220831
"IDF: nine Palestinians suspected of terrorist activity arrested in West Bank, one Palestinian shot and is receiving medical treatment (Haaretz)",0.75,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220831
Iraq crisis: What’s behind Al Sadr’s stepping down?,0.75,Gulf News,UAE,Middle East,MENA,https://gulfnews.com/,20220831
UPDF soldiers operating in DRC to get Ebola vaccine,0.67,The Daily Monitor,Uganda,East Africa,Africa,https://www.monitor.co.ug/,20220831
Shehbaz wants to work with Imran ‘for crisis sake’,0.67,Dawn,Pakistan,South Asia,Asia,https://www.dawn.com/pakistan,20220831
'Burning with pain': Pakistan floods threaten major health crisis,0.67,The Express Tribune,Pakistan,South Asia,Asia,https://tribune.com.pk/,20220831
Devastating economic crisis and the interim budget - EDITORIAL,0.67,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220831
Libya Postpones Trial of 56 ISIS Terrorists till Sep,0.67,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220831
"Finland, Sweden reaffirm commitment to Türkiye in terror fight",0.67,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220831
India great Virat Kohli ‘faked intensity’ during mental crisis,0.67,Muscat Daily,Oman,Middle East,MENA,https://www.muscatdaily.com/,20220831
Oyo APC threatens to expel Akintola over alleged anti-party acts,0.6,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220831
Sonia Gandhi’s mother Paola Maino passes away in Italy: Congress,0.6,Hindustan Times,India,South Asia,Asia,https://www.hindustantimes.com/,20220831
Five ways the dollar crisis impacts RMG makers in Bangladesh,0.6,The Daily Star,Bangladesh,South Asia,Asia,https://www.thedailystar.net/english,20220831
Crisis-hit Sri Lanka strikes staff-level pact with IMF on loan,0.6,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220831
Could cola be making you dumb? A study says yes,0.6,The Star,Malaysia,Southeast Asia,Asia,https://www.thestar.com.my/,20220831
"APEC region's growth to slow down amid uncertainties, crisis: Report",0.6,Antara News,Indonesia,Southeast Asia,Asia,https://en.antaranews.com/,20220831
Another Crisis in Polish-Jewish Relations is on the Horizon [OPINION],0.6,Wyborcza.pl,Poland,Eastern Europe,Europe,"https://wyborcza.pl/0,173236.html?disableRedirects=false/en",20220831
Energy Crisis Looms as Russia Halts Gas Supply to Europe,0.6,Greek News,Greece,Southern Europe,Europe,https://greekreporter.com/greek-news/,20220831
Government Declares State of Energy Crisis Starting from 1 September,0.6,Skopje Diem,North Macedonia,Southern Europe,Europe,https://skopjediem.com/,20220831
Bandola Music Festival in Sevilla delivers strings to the wind,0.6,The City Paper Bogot�,Colombia,South America,Latin America,https://thecitypaperbogota.com/,20220831
Peso crisis imperils coffee supplies in famed cafes of Argentina,0.6,Buenos Aires Times,Argentina,South America,Latin America,https://www.batimes.com.ar/,20220831
Argentines flocked to buy dollars to protect savings from crisis,0.6,Buenos Aires Times,Argentina,South America,Latin America,https://www.batimes.com.ar/,20220831
Massa taps ex-central banker to craft response to economic crisis.,0.6,Buenos Aires Times,Argentina,South America,Latin America,https://www.batimes.com.ar/,20220831
Police Team Protecting Lula Mentions radicalized Opponents and Requests Support,0.6,Folha International,Brazil,South America,Latin America,https://www1.folha.uol.com.br/internacional/en/,20220831
Lebanon seeks urgent solution to electricity crisis to avoid blackout,0.6,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220831
Egypt's Armed Forces kill major terrorist leader in North Sinai,0.6,Ahram Online,Egypt,North Africa,MENA,https://english.ahram.org.eg/Portal/1/Egypt.aspx,20220831
Failure to resolve Libya political crisis is growing threat: UN,0.6,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220831
Türkiye will not allow terror corridor near Syrian border: Akar,0.6,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220831
YPG executes terrorists for attempting to surrender to Turkish forces,0.6,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220831
Crisis-hit Sri Lanka strikes staff-level pact with IMF on loan,0.6,Gulf Daily News,Bahrain,Middle East,MENA,https://www.gdnonline.com/GroupSection/News,20220831
U.S Must Prevent Liberia from Sliding Back Into Crisis – Cummings￼,0.55,FrontPage Africa,Liberia,West Africa,Africa,https://frontpageafricaonline.com/,20220831
"Terror alert: Lagos police douse tension, say no cause for alarm",0.55,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220831
27 MW of Dordi Khola Hydropower Project connected to national grid,0.55,My Republica,Nepal,South Asia,Asia,https://myrepublica.nagariknetwork.com/,20220831
Japan to coordinate with Sri Lanka creditors to resolve debt crisis,0.55,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220831
Kosovo-Serbia crisis talks in Brussels end without breakthrough 21:26 | 18.08.22,0.55,Republika English,North Macedonia,Southern Europe,Europe,https://english.republika.mk/,20220831
Cantante mexicana Danna Paola brilla en los Kids Choice Awards 2022,0.55,Diario 1,El Salvador,Central America,Latin America,http://diario1.com/,20220831
Turkish commandos on duty to root out PKK from northern Iraq,0.55,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220831
World Jewish Congress Accuses Jewish Community of Peddling ‘Spurious Conspiracy Theories’,0.55,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220831
'Iran's Islamic Republic Is No Different From ISIS or the Taliban',0.55,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220831
"Enforced disappearance a serious human rights violation, used to spread terror",0.55,Saudi Gazette,Saudi Arabia,Middle East,MENA,https://saudigazette.com.sa/,20220831
"JusMin Predoiu, Finnish Ambassador Akola discuss latest developments of justice legislation in...",0.5,Nine O' Clock,Romania,Eastern Europe,Europe,https://www.nineoclock.ro/,20220831
Mickoski: Who will be held responsible for this ecocide in REC Bitola?,0.5,Republika English,North Macedonia,Southern Europe,Europe,https://english.republika.mk/,20220831
Analysis: Bosnia and Herzegovina is in the most serious Crisis since 1995,0.5,Sarajevo Times,Bosnia and Herzegovina,Southern Europe,Europe,https://sarajevotimes.com/,20220831
Brotherhoods of La Guaira commemorate the martyrdom of Saint John the Baptist,0.5,�ltimas Noticias,Venezuela,South America,Latin America,https://en.ultimasnoticias.com.ve/,20220831
"'As long as terrorist groups in Sinjar thrive, no security for Yazidis'",0.5,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220831
Isaac Molho: Despite global ‘atmosphere’ of financial crisis Israeli economy remains strong,0.5,The Jerusalem Post,Israel,Middle East,MENA,https://www.jpost.com/,20220831
Explained | How bad is China’s property crisis and how did it get here?,0.43,The Hindu,India,South Asia,Asia,https://www.thehindu.com/,20220831
"Climate crisis: India showing intent as problem solver, says Bhupender Yadav at G20 meet",0.43,Indian Express,India,South Asia,Asia,https://indianexpress.com/section/india/,20220831
This is the state where Coca Cola is consumed the most in the world,0.43,Mexico Daily Post,Mexico,North America,Latin America,https://mexicodailypost.com/,20220831
Libya suffered its deadliest fighting in years. Here’s what to know about the crisis,0.43,Egypt Independent,Egypt,North Africa,MENA,https://www.egyptindependent.com/,20220831
Libya suffered its deadliest fighting in years. Here’s what to know about the crisis,0.43,Egypt Independent,Egypt,North Africa,MENA,https://egyptindependent.com/,20220831
How much did the West know about smuggling of girls to ISIS? - analysis,0.43,The Jerusalem Post,Israel,Middle East,MENA,https://www.jpost.com/,20220831
"Over 1,000 dead in Pakistan floods so far, but the crisis is only beginning",0.43,The Jerusalem Post,Israel,Middle East,MENA,https://www.jpost.com/,20220831
"The international crisis has placed Argentina’s economy, once again, among the global leaders for inflation.",0.4,Buenos Aires Times,Argentina,South America,Latin America,https://www.batimes.com.ar/,20220831
Russian prosecutor asks court to declare anti-war rapper’s work ‘extremist’ – media 1 d ago,0.4,Stabroek News,Guyana,South America,Latin America,https://www.stabroeknews.com/,20220831
"Egypt is prioritising economic stability, mitigating impact of global crisis: PM tells IMF executive director",0.4,Ahram Online,Egypt,North Africa,MENA,https://english.ahram.org.eg/Portal/1/Egypt.aspx,20220831
"Voluntary Measures Wont Solve The Climate Crisis, Says One of the Architects of the Paris Agreement",0.38,Folha International,Brazil,South America,Latin America,https://www1.folha.uol.com.br/internacional/en/,20220831
"Spain seeks 4.8% windfall tax on banks, 1.2% on energy firms to beat cost of living crisis",0.35,Spain in English,Spain,Southern Europe,Europe,https://www.spainenglish.com/,20220831
Ciolacu: PSD will protect Romanians & companies that produce in Romania to withstand shocks produced by energy crisis,0.33,Nine O' Clock,Romania,Eastern Europe,Europe,https://www.nineoclock.ro/,20220831
"News: OFC calls an end to renewed hostilities, regrets international mediators’ failure to use humanitarian truce to bring peace, acknowledge raging crisis in Oromia",0.25,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"Harari: On forceful seizure of Aw Abdal Institute properties, illegal destruction of its properties and unlawful building of shanty houses",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"News: Govt says renewed hostilities between national army, Tigrayan forces extend to border with Sudan",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
News: Fed. Police file charges against 111 “illegal digital media” outlets suspected of “working to make Ethiopia center of violence”,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"News: Lalibela imposes curfew, movement restrictions, unauthorized firearm possession",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
News: Ethiopia Rights Commission concerned by renewed fighting; urges return to dialogue,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
Subscribe to Addis Standard Monthly Print Magazine,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"News: Debre Birhan, Kombolcha, Sekota cities in Amhara state impose curfew, movement restrictions and ban on public gatherings",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"Commentary: Beyond Safaricom: Foreign Direct Investment, diversity and miscalculated decisions",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
Harari: On forceful seizure of Aw Abdal Institute...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
News: Govt says renewed hostilities between nation...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"News: OFC calls an end to renewed hostilities, reg...",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
News: Fed. Police file charges against 111 “ille...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"News: Lalibela imposes curfew, movement restrictio...",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
News: Ethiopia Rights Commission concerned by rene...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"News: Debre Birhan, Kombolcha, Sekota cities in Am...",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
Commentary: Beyond Safaricom: Foreign Direct Inves...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"News: Sidama Federalist Party elects chairman, exe...",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
News: Media houses should refrain from spreading �...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"News: Woldiya, Dessie cities in Amhara state impos...",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
"News: Media, communication institutions should man...",0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
Op-ed: Resignation is the honorable and right thin...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
News: âWe are being tactically pushed out of the...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
News: World Meteorological Org. warns Horn of Afri...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
News: UNICEF âstrongly condemnsâ Mekelle air s...,0,Addis Standard,Ethiopia,East Africa,Africa,https://addisstandard.com/,20220831
Ethiopia's PM Abiy admits Eritrean forces are in Tigray,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
Ethiopian Army jails BBC reporter in Mekele,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
President Isaias Afwerki:  “It is our duty to provide help to Ethiopia”,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
US ‘directly’ presses Eritrea to withdraw forces from Tigray,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
"Families say men are being recruited to jobs in Qatar, only to be find themselves forced to serve in the military in Eritrea",0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
Bisrat Fissehatsion: “My Sister’s Dreams are Still Alive”,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
The Story of Cesarino and his Big Dreams for Eritrea,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
Amal Saleh: A Journalist Who Left Everything Behind and Headed Into Exile,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
PM Abiy Ahmed of Ethiopia: The Deceitful Peace Prize Winner,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
Eritrean Troops in Tigrai: Shame on you!,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
Eritrea: ኣንታ፡ እዛ ኤርትራ ዝብልዋ,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
ሓርበኛ ተጋዳላይ ኣድሓኖም ገብረማርያም - ዕለተ መስዋእቲ፡ ለካቲት 19 2021,0,Asmarino,Eritrea,East Africa,Africa,https://www.asmarino.com/news,20220831
New Faces To Embolden The PFDJ Festivals,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Sudan: Detention of Fifth-Generation Eritrean Refugees,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Season of Migration to the PFDJ,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Dr. Tesfatsion Medhanie Abdicates,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
What Is the Source of Change in Eritrea?,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Drones Created Out of Dirty Residues,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Belly of the Beast,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Abiy Threatens Eritrean Sovereignty,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
"Support The PFDJ, Your Regime",0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
"31 Years Talking to Themselves, never listen",0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Come out Equipped With Truth,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Eritrea: A Victim of Modern Necropolitics,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
HardTalk: Group Rights And Identity Politics,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Good Governance and The Challenges of Eritrean Cultural Diversity,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Perceptions & Values: Transforming the Eritrean Minds,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
"On GiE: People Come, Organizations Go, Values Remain",0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Fleshing Out Our Unity Government In Exile,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
ምቛም ሓድነታዊ መሰጋገሪ መንግስቲ ግዜኡ ሕጂ እዩ!,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
“Time Traps History in a Lie”,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
The Tears of Isaias the Sadist,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
The Black Hole That Devoured Light (Archives),0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
Eulogy in Honor of Adhanom Ghebremariam by Mesfin Hagos,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
A Book Review of “Desecrators of the Sacred Trust”,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
“Made In Ethiopia”: Review by Semere T Habtermariam,0,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220831
"Happening Now:
Presidential petition hearings: Supreme court battle continues",0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Presidential Election Petition - Live Blog,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Uhuru appears in public for first time since poll,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Judge cautions lawyer Willis Otieno against 'piki ponki' rhyme,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Live updates from 2022 Presidential Election Petition,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Conflict in Sudan's south lays bare deep scars,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Presidential petition: Supreme court battle continues,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
There may have been half a million ghost voters - Omtatah,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Kioni: How face masks helped rig us out in Mt Kenya,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Karen Country Club opens space to public,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
"4,463 votes were deducted from Raila, added to Ruto - Lawyer",0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
"Weeks after issuing travel advisory, US ambassador visits Kisumu",0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Family seeks answers after kin dies in Saudi Arabia,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Governor vows to revive Kimalel goat auction and cultural fair,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Bracy beats Omanyala as Richardson edges Thompson-Herah in Lucerne,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Kisauni woman jailed for 25 years for drug trafficking,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
School Games: Koyonzo eye rugby 7s success in Western,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Presidential petition: Counsels make appearances,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Why Equity is celebrating PCEA Kikuyu Hospital for achieving ISO 9001:2015 certification,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Bank of Ghana goes live on EMTECH’s regulatory platform,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
"Why you should start saving for your pension this very moment, however little you can manage",0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
How Diageo’s DRINKiQ online tool is saving lives,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
In pictures: Presidential poll petition pre-trial conference,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
"In photos: Mombasa, Kakamega, Rongai and West Pokot polls",0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
In Photos: Azimio supporters hold solidarity demo,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
'Three bombs' hit Tigray capital,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Why migrants' healthcare access is kicking up a storm in S. Africa,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Tigray rebels vow to pursue military advance in northern Ethiopia,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
S.Africa struggles to contain organised crime blamed on foreigners,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Kwale ordered to pay clinical officer’s Sh4 million withheld pay,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Court okays detention of suspected car theft syndicate leader,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Governor Achani in dilemma over county executives she served with,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
County to conduct audit to weed out ghost workers,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Governor Lomorukai reshuffles cabinet four days into office,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Drivers in Nairobi to use new parking system,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Inside the refurbished Uhuru and Central parks,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
"Azimio, UDA wage city assembly supremacy battle",0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
"Let’s unite for our people, says Kiunjuri",0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Womanising weakness lures gang leader back to captivity,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
End of the road for Moism as Raymond loses Rongai MP seat,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Teen in bizarre killing of siblings detained for 14 days,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Three crushed to death on Kisumu-Kakamega Road,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Jaindi Kisero: I smell a rat in last-minute deals,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Macharia Gaitho: Ruto must rein in lynch mobs,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Kaltum Guyo: Let IEBC bosses not be sycophants,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
"Tom Mshindi: Some lied on the oath, but county chiefs must do better",0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
"Makau Mutua: IEBC, the house Chebukati put asunder",0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Top lawyers among 88 to feature in poll petition,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
ODM focus on grassroots pays off in poll win,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Security beefed up as presidential petition hearing kicks off,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Supreme court limits number of lawyers in presidential petition,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
Legal showdown as poll hearing begins,0,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220831
